probe,locus,abbreviation,annotation
265821_at,AT2G17950,WUS,WUSCHEL
265153_at,AT1G30950,UFO,UNUSUAL FLORAL ORGANS
264872_at,AT1G24260,SEP3,SEPALLATA3
264638_at,AT1G65480,FT,FLOWERING LOCUS T
259372_at,AT1G69120,AP1,APETALA1
259124_at,AT3G02310,SEP2,SEPALLATA2
254595_at,AT4G18960,AG,AGAMOUS
251898_at,AT3G54340,AP3,APETALA 3
250869_at,AT5G03840,TFL1,TERMINAL FLOWER 1
250374_at,AT5G11530,EMF1,EMBRYONIC FLOWER 1
247553_at,AT5G60910,AGL8,AGAMOUS-LIKE 8
247490_at,AT5G61850,LFY,LEAFY
246531_at,AT5G15800,SEP1,SEPALLATA1
246217_at,AT4G36920,AP2,APETALA 2
246072_at,AT5G20240,PI,PISTILLATA
